Id,States/UTs,District,Year,Murder,Rape,Kidnapping_Abduction,Dacoity,Robbery,Theft,Riots,Dowry_Deaths,Assault_on_Women,major_crimes
350,Madhya Pradesh,Agar,2026,5,28,12,0,5,142,20,2,56,1652
351,Madhya Pradesh,Alirajpur,2026,46,17,0,4,10,94,9,0,15,1161
352,Madhya Pradesh,Anuppur,2026,35,70,76,1,23,187,24,7,121,2666
353,Madhya Pradesh,Ashok Nagar,2026,29,76,66,1,15,125,26,12,171,3366
354,Madhya Pradesh,Balaghat,2026,60,131,179,1,16,136,41,12,178,3507
355,Madhya Pradesh,Barwani,2026,44,68,14,1,7,222,22,4,92,2857
356,Madhya Pradesh,Betul,2026,63,164,0,0,19,339,2,9,417,6822
357,Madhya Pradesh,Bhind,2026,62,78,59,6,92,418,71,30,142,4870
358,Madhya Pradesh,Bhopal,2026,83,223,0,9,113,3010,62,20,343,16094
359,Madhya Pradesh,Bhopal Railway,2026,4,3,0,1,20,1670,4,0,19,2067
360,Madhya Pradesh,Burhanpur,2026,20,46,0,3,5,121,8,5,90,1958
361,Madhya Pradesh,Chhatarpur,2026,44,78,181,0,35,217,28,22,232,4463
362,Madhya Pradesh,Chhindwara,2026,73,205,230,1,13,289,42,9,241,6149
363,Madhya Pradesh,Damoh,2026,33,46,109,0,11,112,10,31,137,2702
364,Madhya Pradesh,Datia,2026,42,34,66,3,48,145,17,14,88,2783
365,Madhya Pradesh,Dewas,2026,64,121,13,0,14,511,48,10,216,7426
366,Madhya Pradesh,Dhar,2026,51,138,0,5,76,857,65,15,244,7479
367,Madhya Pradesh,Dindori,2026,24,91,45,0,5,83,11,4,162,3851
368,Madhya Pradesh,Guna,2026,46,123,172,4,34,409,52,12,168,4539
369,Madhya Pradesh,Gwalior,2026,78,158,83,7,99,1821,108,36,364,12958
370,Madhya Pradesh,Harda,2026,12,47,79,0,8,80,10,5,82,2016
371,Madhya Pradesh,Hoshangabad,2026,59,102,80,3,42,416,38,6,183,4870
372,Madhya Pradesh,Indore,2026,115,261,420,3,317,6530,82,37,411,23992
373,Madhya Pradesh,Indore Railway,2026,1,4,0,2,4,434,0,0,9,552
374,Madhya Pradesh,Jabalpur,2026,92,194,172,2,137,1025,69,34,374,12918
375,Madhya Pradesh,Jabalpur Railway,2026,3,4,0,1,37,909,1,0,21,1159
376,Madhya Pradesh,Jhabua,2026,33,52,0,2,45,196,29,0,98,2990
377,Madhya Pradesh,Katni,2026,35,93,118,1,15,161,8,18,178,3670
378,Madhya Pradesh,Khandwa,2026,31,84,0,3,17,357,39,6,270,4011
379,Madhya Pradesh,Khargone,2026,42,118,0,0,18,425,23,43,247,4533
380,Madhya Pradesh,Mandla,2026,36,64,0,0,5,57,6,6,99,2220
381,Madhya Pradesh,Mandsaur,2026,30,90,0,4,9,368,25,5,183,5565
382,Madhya Pradesh,Morena,2026,43,43,0,6,69,503,101,30,131,5944
383,Madhya Pradesh,Narsinghpur,2026,40,113,0,0,7,145,21,20,165,3777
384,Madhya Pradesh,Neemuch,2026,8,47,27,0,9,250,17,3,88,2986
385,Madhya Pradesh,Panna,2026,29,41,145,0,14,73,1,10,84,2063
386,Madhya Pradesh,Raisen,2026,46,161,28,3,21,340,36,5,225,5204
387,Madhya Pradesh,Rajgarh,2026,28,94,0,2,24,363,41,5,235,5529
388,Madhya Pradesh,Ratlam,2026,36,69,39,5,31,339,38,5,151,4560
389,Madhya Pradesh,Rewa,2026,73,110,228,4,97,562,44,36,169,6678
390,Madhya Pradesh,Sagar,2026,75,126,44,0,23,439,85,35,405,7674
391,Madhya Pradesh,Satna,2026,69,187,0,4,67,495,68,30,254,7539
392,Madhya Pradesh,Seoni,2026,29,83,0,0,5,181,19,9,137,3484
393,Madhya Pradesh,Shahdol,2026,36,122,122,1,32,334,26,16,272,5240
394,Madhya Pradesh,Shajapur,2026,20,68,16,0,15,314,29,7,139,3754
395,Madhya Pradesh,Sheopur,2026,18,23,13,3,6,92,26,5,57,1578
396,Madhya Pradesh,Shivpuri,2026,55,101,0,3,52,389,63,11,269,5836
397,Madhya Pradesh,Sidhi,2026,31,40,28,0,21,107,13,14,100,3576
398,Madhya Pradesh,Sehore,2026,33,124,71,0,21,472,39,12,162,5006
399,Madhya Pradesh,Singrauli,2026,42,88,0,0,15,231,37,17,97,3349
400,Madhya Pradesh,Tikamgarh,2026,36,92,79,1,25,128,35,15,133,3458
401,Madhya Pradesh,Ujjain,2026,67,126,68,3,54,1103,66,11,282,9141
402,Madhya Pradesh,Umaria,2026,17,51,49,1,12,78,11,2,104,2172
403,Madhya Pradesh,Vidisha,2026,48,156,93,1,35,440,34,21,299,6009
404,Madhya Pradesh,Cyber Cell,2026,0,0,0,0,0,0,0,0,0,0
405,Madhya Pradesh,Total,2026,2274,5076,3224,105,1969,29244,1850,733,9609,272423
406,Maharashtra,Ahmednagar,2026,109,103,30,44,274,1519,457,13,269,6957
407,Maharashtra,Akola,2026,52,52,17,14,108,736,97,5,219,4433
408,Maharashtra,Amravati Commr.,2026,27,27,20,2,56,815,13,1,132,3338
409,Maharashtra,Amravati Rural,2026,51,103,32,6,42,1221,43,8,415,6948
410,Maharashtra,Aurangabad Commr.,2026,35,27,32,25,204,1419,134,2,227,4821
411,Maharashtra,Aurangabad Rural,2026,49,31,12,18,41,917,264,7,177,4237
412,Maharashtra,Beed,2026,75,70,19,21,94,678,266,3,273,4864
413,Maharashtra,Bhandara,2026,20,28,15,1,25,476,19,3,73,2003
414,Maharashtra,Buldhana,2026,59,57,9,12,44,669,186,22,253,4453
415,Maharashtra,Chandrapur,2026,51,99,0,9,41,751,53,2,224,4441
416,Maharashtra,Dhule,2026,38,35,0,32,56,366,166,11,98,2818
417,Maharashtra,Gadchiroli,2026,54,22,0,4,8,102,9,0,32,875
418,Maharashtra,Gondia,2026,33,58,0,1,20,313,13,6,113,1836
419,Maharashtra,Hingoli,2026,27,24,12,2,19,128,66,4,80,1761
420,Maharashtra,Jalgaon,2026,80,66,0,43,129,999,327,1,347,6531
421,Maharashtra,Jalna,2026,64,33,7,12,75,582,120,13,185,3372
422,Maharashtra,Kolhapur,2026,64,84,7,18,236,883,273,8,176,4942
423,Maharashtra,Latur,2026,74,57,0,31,79,549,246,4,174,4070
424,Maharashtra,Mumbai Commr.,2026,183,607,451,34,2094,10101,409,22,1626,40361
425,Maharashtra,Mumbai Railway,2026,17,1,17,0,573,2247,6,0,55,3141
426,Maharashtra,Nagpur Commr.,2026,103,113,97,16,505,2962,147,10,279,10359
427,Maharashtra,Nagpur Railway,2026,2,3,0,6,80,1531,7,0,20,1768
428,Maharashtra,Nagpur Rural,2026,69,65,13,7,65,1024,60,4,187,4564
429,Maharashtra,Nanded,2026,73,43,0,8,62,511,192,6,147,4600
430,Maharashtra,Nandurbar,2026,36,25,4,6,13,157,89,2,36,1425
431,Maharashtra,Nasik Commr.,2026,26,28,50,13,124,1053,64,3,101,3883
432,Maharashtra,Nasik Rural,2026,98,87,41,27,103,888,375,17,224,6832
433,Maharashtra,Navi Mumbai,2026,51,88,134,17,411,1447,89,6,158,5903
434,Maharashtra,Osmanabad,2026,39,43,14,19,40,427,148,5,126,2825
435,Maharashtra,Palghar,2026,85,98,52,21,211,1071,220,1,183,4692
436,Maharashtra,Parbhani,2026,44,38,15,26,48,488,157,5,140,3606
437,Maharashtra,Pune Commr.,2026,138,189,106,92,873,4867,259,20,454,14468
438,Maharashtra,Pune Railway,2026,8,2,3,8,56,543,3,1,5,676
439,Maharashtra,Pune Rural,2026,153,147,144,87,251,2592,609,13,356,10334
440,Maharashtra,Raigad,2026,31,47,41,6,72,429,146,2,99,2601
441,Maharashtra,Ratnagiri,2026,11,34,18,2,38,256,66,0,59,1568
442,Maharashtra,Sangli,2026,50,66,19,11,63,608,218,6,157,5171
443,Maharashtra,Satara,2026,67,97,40,46,234,1254,340,4,241,6062
444,Maharashtra,Sindhudurg,2026,7,12,1,5,16,132,24,0,42,789
445,Maharashtra,Solapur Commr.,2026,21,39,18,10,123,586,111,3,52,2186
446,Maharashtra,Solapur Rural,2026,87,97,13,22,68,1062,431,2,227,6235
447,Maharashtra,Thane Commr.,2026,117,215,317,35,1315,3167,338,13,559,13227
448,Maharashtra,Thane Rural,2026,51,75,63,27,230,641,168,3,165,3641
449,Maharashtra,Wardha,2026,35,62,0,14,50,800,41,1,192,3687
450,Maharashtra,Washim,2026,31,33,16,6,51,466,94,5,178,2579
451,Maharashtra,Yavatmal,2026,75,108,42,19,146,1850,197,12,466,9951
452,Maharashtra,Total,2026,2670,3438,1941,885,9466,56283,7760,279,10001,249834
453,Manipur,Bishnupur,2026,12,9,0,0,0,50,6,0,6,307
454,Manipur,Chandel,2026,4,0,0,0,0,12,3,0,1,70
455,Manipur,Churachandpur,2026,13,5,0,0,0,29,1,0,3,130
456,Manipur,C. I. D.,2026,0,0,0,0,0,0,0,0,0,0
457,Manipur,Imphal East,2026,13,20,0,0,0,251,15,1,7,645
458,Manipur,Imphal West,2026,20,20,7,0,4,475,42,0,44,1417
459,Manipur,Senapati,2026,5,1,0,0,3,11,3,0,2,121
460,Manipur,Tamenglong,2026,4,0,0,0,0,12,1,0,0,125
461,Manipur,Thoubal,2026,15,19,0,0,0,157,29,0,35,768
462,Manipur,Ukhrul,2026,10,1,0,0,0,4,1,0,0,58
463,Manipur,Total,2026,96,75,7,0,7,1001,101,1,98,3641
464,Meghalaya,Garo Hills East,2026,7,3,0,3,6,57,0,0,3,159
465,Meghalaya,Garo Hills North,2026,14,3,0,5,2,24,0,0,8,165
466,Meghalaya,Garo Hills South,2026,19,3,0,4,2,21,3,0,3,167
467,Meghalaya,Garo Hills South West,2026,5,4,4,5,2,7,0,0,8,65
468,Meghalaya,Garo Hills West,2026,28,11,0,9,13,72,2,0,11,532
469,Meghalaya,Jaintia Hills West,2026,18,10,0,0,3,55,0,0,5,292
470,Meghalaya,Jaintia Hills East,2026,19,11,0,3,4,68,0,0,7,281
471,Meghalaya,Khasi Hills East,2026,24,14,21,7,53,399,0,0,45,1327
472,Meghalaya,Khasi Hills South West,2026,4,12,0,3,1,15,0,1,0,60
473,Meghalaya,Khasi Hills West,2026,11,19,0,4,3,50,0,0,4,271
474,Meghalaya,Ri-Bhoi,2026,10,28,3,13,8,89,3,0,11,360
475,Meghalaya,Total,2026,159,118,28,56,97,857,8,1,105,3679
476,Mizoram,Aizawl,2026,11,39,2,1,5,455,0,0,58,1059
477,Mizoram,Champhai,2026,9,22,0,0,0,86,0,0,0,238
478,Mizoram,Kolasib,2026,1,10,2,5,0,136,0,0,10,263
479,Mizoram,Lawngtlai,2026,6,9,0,0,0,26,0,0,5,98
480,Mizoram,Lunglei,2026,8,14,0,1,0,52,0,0,13,175
481,Mizoram,Mamit,2026,1,10,0,1,0,33,0,0,6,116
482,Mizoram,Saiha,2026,4,4,0,0,0,27,0,0,2,73
483,Mizoram,Serchhip,2026,2,12,0,0,1,37,0,0,3,98
484,Mizoram,Spl Traffic,2026,0,0,0,0,0,0,0,0,0,20
485,Mizoram,Total,2026,42,120,4,8,6,852,0,0,97,2140
486,Nagaland,Dimapur,2026,22,12,8,8,26,215,2,0,10,512
487,Nagaland,Kiphire,2026,1,1,0,0,0,2,0,0,0,13
488,Nagaland,Kohima,2026,3,9,0,0,6,75,0,0,0,199
489,Nagaland,Longleng,2026,0,1,0,0,0,2,0,0,0,15
490,Nagaland,Mokokchung,2026,5,1,0,0,2,10,0,0,2,67
491,Nagaland,Mon,2026,6,1,0,0,0,10,0,0,0,39
492,Nagaland,Peren,2026,1,0,0,0,0,7,0,0,1,19
493,Nagaland,Phek,2026,9,1,0,0,3,25,0,0,3,75
494,Nagaland,Tuensang,2026,0,1,2,0,0,20,2,0,0,48
495,Nagaland,Wokha,2026,10,0,0,0,0,29,6,0,0,90
496,Nagaland,Zunheboto,2026,1,3,1,0,1,23,0,0,0,80
497,Nagaland,Total,2026,58,30,11,8,38,418,10,0,16,1157
498,Odisha,Angul,2026,58,44,0,39,107,548,73,4,146,2950
499,Odisha,Balasore,2026,65,110,97,15,90,357,60,2,566,4305
500,Odisha,Baragarh,2026,27,56,23,17,68,199,89,7,114,1817
501,Odisha,Berhampur,2026,31,30,23,25,76,237,29,0,162,1709
502,Odisha,Bhadrak,2026,39,63,0,3,25,222,45,24,178,2807
503,Odisha,Bolangir,2026,26,56,24,13,59,199,64,19,211,2379
504,Odisha,Boudh,2026,22,24,0,9,23,35,9,2,68,596
505,Odisha,Cuttack,2026,40,58,29,10,63,170,40,27,29,2594
506,Odisha,DCP BBSR,2026,42,72,7,30,123,1432,90,27,53,5478
507,Odisha,DCP CTC,2026,36,66,83,15,38,623,28,21,82,2920
508,Odisha,Deogarh,2026,12,32,14,6,17,72,13,1,46,901
509,Odisha,Dhenkanal,2026,52,43,23,7,76,237,64,11,388,2000
510,Odisha,Gajapati,2026,17,19,7,1,0,36,32,3,84,460
511,Odisha,Ganjam,2026,75,85,17,34,64,153,66,13,410,2580
512,Odisha,Jagatsinghpur,2026,43,37,35,14,60,329,70,26,208,2345
513,Odisha,Jajpur,2026,76,73,0,16,70,397,83,49,238,3174
514,Odisha,Jharsuguda,2026,33,42,22,8,64,217,30,9,108,1431
515,Odisha,Kalahandi,2026,38,101,0,7,41,103,75,12,215,2039
516,Odisha,Kandhamal,2026,28,54,15,5,14,79,10,4,121,1089
517,Odisha,Kendrapara,2026,34,48,7,7,36,107,47,32,154,2244
518,Odisha,Keonjhar,2026,75,103,0,19,46,218,51,11,293,2571
519,Odisha,Khurda,2026,40,39,57,17,63,197,48,22,103,2291
520,Odisha,Koraput,2026,71,94,38,15,37,99,61,4,152,1357
521,Odisha,Malkangiri,2026,33,19,14,21,9,33,17,4,29,420
522,Odisha,Mayurbhanj,2026,110,139,75,12,40,252,39,32,324,2793
523,Odisha,Nayagarh,2026,33,23,28,20,51,129,48,7,37,1487
524,Odisha,Nabarangpur,2026,23,73,15,3,12,56,94,1,194,1695
525,Odisha,Nuapada,2026,14,26,0,4,20,74,31,5,136,1175
526,Odisha,Puri,2026,54,68,146,17,102,449,117,32,151,4317
527,Odisha,Rayagada,2026,29,59,44,13,17,105,49,0,102,1199
528,Odisha,Rourkela,2026,55,73,45,24,106,488,37,4,174,2670
529,Odisha,Sambalpur,2026,48,81,63,18,123,567,74,10,108,3391
530,Odisha,Sonepur,2026,16,18,27,8,15,75,22,4,46,724
531,Odisha,SRP (Cuttack),2026,0,0,2,1,19,438,3,0,9,546
532,Odisha,SRP (Rourkela),2026,4,1,0,1,21,320,0,0,10,460
533,Odisha,Sundargarh,2026,51,49,42,10,33,158,24,12,94,1655
534,Odisha,Total,2026,1450,1978,1022,484,1828,9410,1732,441,5543,74569
535,Punjab,Amritsar Rural,2026,47,31,0,0,12,124,0,6,78,1396
536,Punjab,Barnala,2026,15,31,3,0,1,96,0,0,17,791
537,Punjab,Batala,2026,22,30,13,0,3,86,0,3,36,865
538,Punjab,Bathinda,2026,55,56,8,1,2,260,0,5,77,2117
539,Punjab,CP Amritsar,2026,29,34,3,1,13,324,0,3,45,1998
540,Punjab,CP Jalandhar,2026,16,49,18,1,10,498,0,1,77,2020
541,Punjab,CP Ludhiana,2026,73,111,0,2,23,603,0,5,98,3546
542,Punjab,Faridkot,2026,23,24,0,2,10,70,0,1,16,673
543,Punjab,Fatehgarh Sahib,2026,16,26,0,0,3,89,0,4,22,920
544,Punjab,Fazilka,2026,24,52,5,0,0,80,0,4,18,877
545,Punjab,Ferozepur,2026,27,55,0,0,0,163,0,3,31,1300
546,Punjab,G. R. P.,2026,11,1,4,0,0,94,0,0,3,372
547,Punjab,Gurdaspur,2026,13,26,0,1,2,80,0,2,37,781
548,Punjab,Hoshiarpur,2026,32,43,52,3,8,207,0,7,41,1637
549,Punjab,Jalandhar Rural,2026,27,31,1,3,17,147,0,2,37,1154
550,Punjab,Kapurthala,2026,21,29,5,2,10,132,0,3,33,1105
551,Punjab,Khanna,2026,20,23,0,2,8,261,0,3,34,1132
552,Punjab,Ludhiana Rural,2026,16,14,0,0,4,162,0,3,22,1081
553,Punjab,Mansa,2026,32,22,0,1,0,52,0,5,22,793
554,Punjab,Moga,2026,25,29,9,1,4,147,0,0,39,1172
555,Punjab,Muktsar,2026,29,29,4,0,0,93,0,1,24,781
556,Punjab,Pathankot,2026,9,11,0,0,1,75,0,4,11,582
557,Punjab,Patiala,2026,45,38,1,2,4,294,0,4,66,2774
558,Punjab,Ropar,2026,22,21,14,0,4,114,0,2,52,1122
559,Punjab,Sangrur,2026,42,57,0,1,3,196,0,7,54,1935
560,Punjab,SAS Nagar,2026,26,59,0,7,6,433,0,5,57,2408
561,Punjab,SBS Nagar,2026,15,20,0,1,7,80,0,2,18,659
562,Punjab,Tarn Taran,2026,35,29,1,1,2,107,0,5,48,1171
563,Punjab,Total,2026,767,981,141,32,157,5067,0,90,1113,37162
564,Rajasthan,Ajmer,2026,45,130,38,5,46,1155,0,10,181,9197
565,Rajasthan,Alwar,2026,104,299,247,0,70,3189,5,33,256,12742
566,Rajasthan,Banswara,2026,25,146,0,0,27,186,42,6,103,2789
567,Rajasthan,Baran,2026,34,67,0,2,22,449,0,5,212,4515
568,Rajasthan,Barmer,2026,38,93,0,3,19,352,3,26,272,4388
569,Rajasthan,Bharatpur,2026,99,219,72,0,29,1549,0,36,145,10231
570,Rajasthan,Bhilwara,2026,35,54,0,0,22,799,7,8,173,7353
571,Rajasthan,Bikaner,2026,48,75,0,2,4,347,0,15,89,5441
572,Rajasthan,Bundi,2026,24,80,0,0,15,260,5,4,179,3823
573,Rajasthan,Chittorgarh,2026,33,104,90,3,41,539,31,2,145,5435
574,Rajasthan,Churu,2026,35,72,58,1,11,248,0,7,45,3847
575,Rajasthan,Dausa,2026,40,37,0,3,10,1059,11,5,150,5584
576,Rajasthan,Dholpur,2026,44,78,32,0,11,480,0,21,43,4395
577,Rajasthan,Dungarpur,2026,31,110,0,0,23,132,2,13,154,2678
578,Rajasthan,G.R.P.Ajmer,2026,5,3,10,0,10,1118,1,1,5,1313
579,Rajasthan,G.R.P.Jodhpur,2026,6,1,1,0,0,143,0,0,7,198
580,Rajasthan,Ganganagar,2026,43,180,31,1,12,422,0,17,147,6929
581,Rajasthan,Hanumangarh,2026,67,135,72,1,12,284,0,11,124,5021
582,Rajasthan,Jaipur East,2026,35,73,66,2,118,3168,61,8,165,8759
583,Rajasthan,Jaipur North,2026,16,42,104,0,37,799,4,4,75,4120
584,Rajasthan,Jaipur Rural,2026,63,80,75,9,37,766,13,13,183,6625
585,Rajasthan,Jaipur South,2026,21,56,18,1,116,1735,7,8,97,5953
586,Rajasthan,Jaipur West,2026,36,92,50,0,85,1369,3,13,118,7238
587,Rajasthan,Jaisalmer,2026,12,10,0,3,12,166,15,5,94,1478
588,Rajasthan,Jalore,2026,44,43,21,1,11,263,8,9,104,2971
589,Rajasthan,Jhalawar,2026,49,138,10,1,24,473,45,11,296,4666
590,Rajasthan,Jhunjhunu,2026,38,79,0,2,15,494,16,12,53,5277
591,Rajasthan,Jodhpur East,2026,20,25,0,0,47,456,3,2,97,2952
592,Rajasthan,Jodhpur West,2026,28,46,0,3,17,305,0,0,117,3281
593,Rajasthan,Jodhpur Rural,2026,21,43,14,0,73,537,0,6,115,2693
594,Rajasthan,Karauli,2026,34,49,0,1,16,702,2,14,104,4612
595,Rajasthan,Kota City,2026,19,100,35,1,27,890,0,3,102,5248
596,Rajasthan,Kota Rural,2026,19,60,0,0,13,157,0,2,186,2557
597,Rajasthan,Nagaur,2026,69,102,0,2,14,472,0,8,94,5743
598,Rajasthan,Pali,2026,52,107,0,2,45,420,0,21,341,6373
599,Rajasthan,Praapgarh,2026,39,202,0,0,12,133,41,12,305,3124
600,Rajasthan,Rajsamand,2026,17,48,10,1,24,206,11,6,81,2790
601,Rajasthan,Sawai Madhopur,2026,23,70,19,5,15,635,0,0,96,4212
602,Rajasthan,Sikar,2026,65,79,149,0,17,876,16,14,60,6994
603,Rajasthan,Sirohi,2026,41,51,20,2,11,126,8,4,78,2342
604,Rajasthan,Tonk,2026,30,52,0,0,7,371,69,5,129,4663
605,Rajasthan,Udaipur,2026,90,229,82,7,124,865,107,8,479,9868
606,Rajasthan,Total,2026,1637,3759,1324,64,1301,29095,536,408,5999,210418
607,Sikkim,East,2026,7,16,11,1,12,60,24,0,15,589
608,Sikkim,North,2026,0,2,0,0,0,13,1,0,1,52
609,Sikkim,South,2026,2,15,2,0,1,42,46,0,13,290
610,Sikkim,West,2026,3,14,0,0,0,10,10,0,5,127
611,Sikkim,CID,2026,0,0,0,0,0,1,0,0,0,7
612,Sikkim,Total,2026,12,47,13,1,13,126,81,0,34,1065
613,Tamil Nadu,Ariyalur,2026,19,6,0,0,8,64,30,2,23,1615
614,Tamil Nadu,Chennai,2026,161,65,12,8,72,1520,118,10,59,16861
615,Tamil Nadu,Coimbatore,2026,43,7,0,5,104,361,32,0,21,4996
616,Tamil Nadu,Coimbatore City,2026,21,5,4,5,123,353,25,0,8,4281
617,Tamil Nadu,Cuddalore,2026,50,14,68,0,16,476,250,5,3,9442
618,Tamil Nadu,Dharmapuri,2026,43,11,0,4,31,282,116,2,26,4354
619,Tamil Nadu,Dindigul,2026,61,15,0,5,67,210,77,4,29,6250
620,Tamil Nadu,Erode,2026,53,0,0,0,44,298,27,0,19,4370
621,Tamil Nadu,Kanchipuram,2026,66,16,0,4,24,466,119,2,8,8066
622,Tamil Nadu,Kanyakumari,2026,41,7,0,0,75,266,0,2,3,4041
623,Tamil Nadu,Karur,2026,20,1,0,0,16,135,43,1,20,2241
624,Tamil Nadu,Krishnagiri,2026,59,13,0,7,53,301,141,4,34,5095
625,Tamil Nadu,Madurai,2026,67,37,0,9,163,508,210,5,79,8212
626,Tamil Nadu,Madurai City,2026,33,6,4,4,118,576,23,1,22,3226
627,Tamil Nadu,Nagapattinam,2026,36,16,0,0,48,166,73,0,14,4386
628,Tamil Nadu,Namakkal,2026,35,0,11,0,31,130,44,0,48,4003
629,Tamil Nadu,Nilgiris,2026,7,6,5,0,3,44,11,0,12,1199
630,Tamil Nadu,Perambalur,2026,15,7,0,1,14,62,22,1,26,1770
631,Tamil Nadu,Pudukottai,2026,34,3,0,0,18,113,38,2,29,3720
632,Tamil Nadu,Ramnathapuram,2026,45,8,10,5,25,141,65,3,12,3819
633,Tamil Nadu,Railway Chennai,2026,3,1,0,0,20,343,11,0,4,637
634,Tamil Nadu,Railway Trichy,2026,0,0,0,0,15,111,5,0,0,229
635,Tamil Nadu,Salem,2026,58,6,10,1,24,142,91,7,46,4696
636,Tamil Nadu,Salem City,2026,36,5,0,2,59,261,44,1,12,4504
637,Tamil Nadu,Sivagangai,2026,29,15,35,6,86,182,71,3,13,3738
638,Tamil Nadu,Thanjavur,2026,70,8,24,3,68,296,158,0,62,6225
639,Tamil Nadu,Theni,2026,47,8,0,2,38,207,75,6,30,4554
640,Tamil Nadu,Thirunelveli,2026,108,36,1,2,107,289,0,5,47,8490
641,Tamil Nadu,Thirunelveli City,2026,18,6,5,0,73,206,0,0,3,1623
642,Tamil Nadu,Thiruvallur,2026,37,8,0,3,25,169,144,4,2,4037
643,Tamil Nadu,Thiruvannamalai,2026,47,16,36,1,7,278,115,6,14,4411
644,Tamil Nadu,Thiruvarur,2026,26,2,0,5,36,176,34,1,2,4041
645,Tamil Nadu,Thoothugudi,2026,89,16,0,5,65,352,0,0,44,5344
646,Tamil Nadu,Tiruppur,2026,36,6,4,3,61,220,33,3,15,4049
647,Tamil Nadu,Tiruppur City,2026,20,5,2,0,55,338,22,0,7,2490
648,Tamil Nadu,Trichy,2026,39,8,0,1,34,140,66,2,51,4688
649,Tamil Nadu,Trichy City,2026,24,3,3,0,24,307,10,0,10,3074
650,Tamil Nadu,Vellore,2026,92,12,0,7,31,750,11,3,44,10492
651,Tamil Nadu,Villupuram,2026,68,38,29,1,30,466,355,7,176,9643
652,Tamil Nadu,Virudhunagar,2026,49,13,11,2,58,264,75,3,25,4285
653,Tamil Nadu,Cyber Cell,2026,0,0,0,0,0,0,0,0,0,3
654,Tamil Nadu,Other Units,2026,0,0,0,0,0,0,0,0,0,0
655,Tamil Nadu,Total,2026,1805,455,274,101,1969,11969,2784,95,1102,193200
656,Telangana,Adilabad,2026,101,42,18,1,7,505,38,16,244,6036
657,Telangana,Cyberabad,2026,144,139,55,15,62,4182,51,48,376,19311
658,Telangana,Hyderabad City,2026,118,126,235,9,58,4266,57,22,393,18940
659,Telangana,Karimnagar,2026,109,66,37,5,36,735,87,34,373,9382
660,Telangana,Khammam,2026,76,102,0,1,15,746,94,18,351,11022
661,Telangana,Mahaboob Nagar,2026,240,169,0,6,23,1112,105,30,242,7533
662,Telangana,Medak,2026,130,60,11,5,20,787,39,34,211,6931
663,Telangana,Nalgonda,2026,114,126,24,6,30,722,129,23,447,9254
664,Telangana,Nizamabad,2026,122,36,14,5,21,712,46,25,163,7053
665,Telangana,Ranga Reddy,2026,77,51,20,1,12,183,2,10,83,2309
666,Telangana,Secunderabad Railway,2026,4,2,1,0,3,760,0,0,5,860
667,Telangana,Warangal,2026,47,41,8,4,15,302,83,17,186,4407
668,Telangana,Warangal Urban,2026,26,19,9,1,6,330,35,12,114,3792
669,Telangana,Total,2026,1308,979,432,59,308,15342,766,289,3188,106830
670,Tripura,Dhalai,2026,20,34,2,0,2,11,4,1,49,363
671,Tripura,Gomati,2026,15,32,0,0,4,53,11,9,51,825
672,Tripura,G. R. P.,2026,0,0,0,0,0,2,0,0,2,9
673,Tripura,Kowai,2026,10,15,1,0,0,30,4,8,36,338
674,Tripura,North,2026,10,26,0,1,6,33,6,6,41,510
675,Tripura,Sipahijala,2026,19,19,1,0,3,45,16,1,76,725
676,Tripura,South,2026,17,20,0,0,5,22,13,4,47,678
677,Tripura,Unakoti,2026,8,24,0,0,4,22,19,1,29,401
678,Tripura,West,2026,41,69,0,0,19,151,19,3,161,1650
679,Tripura,Total,2026,140,239,4,1,43,369,92,33,492,5499
680,Uttar Pradesh,Agra,2026,178,77,298,10,218,3512,413,87,281,9518
681,Uttar Pradesh,Aligarh,2026,179,112,404,17,242,2297,436,69,307,8793
682,Uttar Pradesh,Allahabad,2026,132,109,82,9,125,2245,129,53,309,9909
683,Uttar Pradesh,Ambedkar Nagar,2026,24,20,0,1,13,86,37,11,16,1323
684,Uttar Pradesh,Amethi,2026,36,27,42,0,20,113,43,15,78,1522
685,Uttar Pradesh,Amroha,2026,60,35,0,5,44,399,44,23,81,2826
686,Uttar Pradesh,Auraiya,2026,34,21,9,3,14,165,20,34,73,1789
687,Uttar Pradesh,Azamgarh,2026,68,42,144,1,73,387,203,34,102,2881
688,Uttar Pradesh,Badaun,2026,120,71,0,3,53,331,9,56,148,2919
689,Uttar Pradesh,Baghpat,2026,83,35,0,3,45,332,56,14,96,1844
690,Uttar Pradesh,Bahraich,2026,53,68,0,0,14,258,73,51,45,2249
691,Uttar Pradesh,Ballia,2026,36,21,27,0,28,287,113,24,71,1674
692,Uttar Pradesh,Balrampur,2026,28,19,1,1,4,68,22,13,28,549
693,Uttar Pradesh,Banda,2026,42,71,9,0,25,240,86,39,185,1948
694,Uttar Pradesh,Barabanki,2026,57,35,0,2,17,113,3,25,51,2471
695,Uttar Pradesh,Bareilly,2026,132,76,144,4,80,886,153,74,252,6589
696,Uttar Pradesh,Basti,2026,31,15,0,2,11,85,20,15,27,752
697,Uttar Pradesh,Bijnor,2026,84,80,0,4,59,434,77,26,175,3475
698,Uttar Pradesh,Bulandshahar,2026,171,82,27,11,122,841,158,55,239,4775
699,Uttar Pradesh,Chandoli,2026,20,26,0,0,27,156,39,20,92,1366
700,Uttar Pradesh,Chitrakoot,2026,33,23,3,3,6,81,12,23,56,988
